Course Name,Course Title,Credits,Description,Prerequisite,Concurrent,Attributes
MATH 484,Linear Programs and Related Problems,3 Credits,Introduction to theory and applications of linear programming; the simplex algorithm and newer methods of solution; duality theory.,MATH 220and (MATH 230orMATH 231),,
MATH 485,Graph Theory,3 Credits,Introduction to the theory and applications of graphs and directed graphs. Emphasis on the fundamental theorems and their proofs.,MATH 311W,,
MATH 486,Mathematical Theory of Games,3 Credits,"Basic theorems, concepts, and methods in the mathematical study of games of strategy; determination of optimal play when possible.MATH 486Mathematical Theory of Games (3) This course covers several major classes of models and methods for analyzing multi-party strategic interactions, i.e. games. Specific topics include extensive and strategic form games, continuous games, cooperative games, strictly competitive games, repeated games and adaptive learning, and evolutionary models. The effects on outcomes of information, communication, and other modeling assumptions are discussed. Real-world examples drawn from economics, biology, anthropology, management and everyday life are discussed in detail. When appropriate, computer algebra systems are incorporated in the course. The course typically meets during either two 75-minute periods each week or three 50-minute periods each week. Evaluation methods may vary by instructor, but will typically include a combination of examinations, quizzes, homework, and projects.",MATH 220,,
MATH 490H,Honors Student Colloquium,1 Credits/Maximum of 6,"The course comprises colloquium style weekly lectures by visitors and by Penn State faculty covering select topics in classical and contemporary mathematics. Some talks will describe math-intense jobs outside of academia and help the students to plan for their future career. The topics of the lectures will be quite advanced, distinguishing it as an honors course. In addition to attending the talks, toward the end of semester, the students will either give a presentation or write an essay on a mathematical topic of their choice or a topic covered in one of the colloquium talks.",MATH 220andMATH 230and (MATH 250orMATH 251) and (MATH 311WorMATH 311M),,
MATH 494,Research Project,1-12 Credits/Maximum of 12,Supervised student activities on research projects identified on an individual or small-group basis.,Bachelor of Arts: Quantification,,
MATH 494H,Thesis Project,3 Credits/Maximum of 6,"The honors thesis proposal must be approved by the thesis supervisor and the honors adviser and submitted to the Schreyer Honors College prior to scheduling this course. Honors students in Mathematics should register for Math 494H in one or both of their last two semesters. All Schreyer Scholars are required to complete an undergraduate honors thesis. This work represents the culmination of a student's honors experience. Through the thesis, the student demonstrates a command of relevant scholastic work and a personal contribution to that scholarship. The thesis document should capture the relevant background, methods and techniques, as well as describe the details of the completion of the individual project.",Bachelor of Arts: Quantification,,
MATH 495,Internship,1-18 Credits/Maximum of 18,"Supervised off-campus, nongroup instruction including field experiences, practica, or internships.  Written and oral critique of activity required.",Prerequisite:prior approval of proposed assignment by instructor,,
MATH 496,Independent Studies,1-18 Credits/Maximum of 18,"Creative projects, including research and design, which are supervised on an individual basis and which fall outside the scope of formal courses.",Bachelor of Arts: Quantification,,
MATH 496A,**SPECIAL TOPICS**,1-6 Credits,No description available.,Bachelor of Arts: Quantification,,
MATH 496H,Independent Studies,1-18 Credits/Maximum of 18,"Creative projects, including research and design, which are supervised on an individual basis and which fall outside the scope of formal courses.",Honors,,
MATH 497,Special Topics,1-9 Credits/Maximum of 999,"Formal courses given infrequently to explore, in depth, a comparatively narow subject which may be topical or of special interest.",Bachelor of Arts: Quantification,,
MATH 499,Foreign Studies,1-12 Credits/Maximum of 12,Courses offered in foreign countries by individual or group instruction.,Bachelor of Arts: Quantification,,
